Date,Open,High,Low,Close,Volume
2006-06-23,267.61859130859375,269.2604231571127,265.9767594600748,267.61859130859375,31540000
2006-06-26,262.693115234375,265.9767791748047,261.05128326416013,262.693115234375,54400000
2006-06-27,264.3348693847656,267.6185323584894,262.6930378979037,264.3348693847656,40530000
2006-06-28,259.409423828125,261.05125562450553,254.48392843898338,259.409423828125,133550000
2006-06-29,259.4094512939453,264.33494720458987,261.05128326416013,262.693115234375,87570000
2006-06-30,269.260498046875,274.18599496236664,264.33500113138336,269.260498046875,334620000
2006-07-03,280.7532958984375,280.7532958984375,269.26047092013886,280.7532958984375,298940000
2006-07-04,282.3951110839844,285.67877516635633,280.75327904279845,282.3951110839844,222200000
2006-07-05,280.7532958984375,288.96245659722223,280.7532958984375,280.7532958984375,150650000
2006-07-06,279.1114501953125,282.39511431525733,277.46961813534006,279.1114501953125,140510000
2006-07-07,288.96258544921875,288.96258544921875,282.3952539617365,288.96258544921875,151830000
2006-07-10,285.67889404296875,288.9625594917385,285.67889404296875,285.67889404296875,71180000
2006-07-11,285.67889404296875,285.67889404296875,284.0370613185839,285.67889404296875,22370000
2006-07-12,284.0370178222656,287.3206827681878,284.0370178222656,284.0370178222656,39200000
2006-07-13,280.7532958984375,284.03696017795136,279.11146375868054,280.7532958984375,88510000
2006-07-14,270.90234375,275.8278409090909,267.61867897727274,270.90234375,117110000
2006-07-17,270.9022291651312,265.97673408940153,259.409407321762,261.0512390136719,127360000
2006-07-18,257.76763916015625,262.6931354498407,256.1258070635947,257.76763916015625,179680000
2006-07-19,261.05130335327925,262.6931354498407,257.76763916015625,257.76763916015625,122050000
2006-07-20,261.0512390136719,264.33490239749165,259.409407321762,261.0512390136719,322950000
2006-07-21,264.3348693847656,264.3348693847656,259.40937492417993,264.3348693847656,134530000
2006-07-24,259.409423828125,262.69308742088606,259.409423828125,259.409423828125,143610000
2006-07-25,259.409423828125,264.3349192172666,259.409423828125,259.409423828125,99630000
2006-07-26,259.4094883845402,261.0513205895057,256.1258239746094,256.1258239746094,154460000
2006-07-27,257.7676163661627,267.6186080744237,257.7676163661627,265.9767761230469,438290000
2006-07-28,264.3348693847656,267.6185323584894,262.6930378979037,264.3348693847656,220860000
2006-07-31,274.1860046386719,275.8278370017777,267.6186751862486,274.1860046386719,338780000
2006-08-01,280.7532958984375,280.7532958984375,272.54413519965277,280.7532958984375,262800000
2006-08-02,284.0370178222656,285.6788502952267,275.82785545746026,284.0370178222656,427170000
2006-08-03,275.8278503417969,287.3206774393717,274.1860178992862,275.8278503417969,514210000
2006-08-04,275.8278503417969,279.11151522681826,272.5441854567755,275.8278503417969,205940000
2006-08-07,274.1860046386719,279.1115017279893,274.1860046386719,274.1860046386719,470810000
2006-08-08,270.90234375,277.4696732954545,270.90234375,270.90234375,175210000
2006-08-09,275.8278503417969,277.46968278430757,270.90235301426475,275.8278503417969,109080000
2006-08-10,269.260498046875,277.46965957269435,267.61866574171114,269.260498046875,284400000
2006-08-11,269.260498046875,274.18599496236664,269.260498046875,269.260498046875,129380000
2006-08-14,275.8278503417969,275.8278503417969,270.90235301426475,275.8278503417969,201750000
2006-08-15,279.1114501953125,279.1114501953125,274.1859540153952,279.1114501953125,251960000
2006-08-16,282.3951110839844,285.67877516635633,280.75327904279845,282.3951110839844,661720000
2006-08-17,282.3951110839844,282.3951110839844,282.3951110839844,282.3951110839844,0
2006-08-18,282.3951110839844,282.3951110839844,282.3951110839844,282.3951110839844,0
2006-08-21,282.3951110839844,282.3951110839844,282.3951110839844,282.3951110839844,0
2006-08-22,287.3206481933594,288.96248046875,282.3951513671875,287.3206481933594,317840000
2006-08-23,287.3207267673536,287.3207267673536,284.0370613185839,285.67889404296875,168050000
2006-08-24,288.96258544921875,292.24625119295985,280.7534210898659,288.96258544921875,728080000
2006-08-25,290.6043701171875,295.52986791578394,288.9625375176554,290.6043701171875,479570000
2006-08-28,293.887939453125,297.1716035810929,288.9624432611732,293.887939453125,402810000
2006-08-29,293.887939453125,295.52977151710894,292.24610738914106,293.887939453125,185280000
2006-08-30,295.52984619140625,297.1716786702474,292.246181233724,295.52984619140625,213880000
2006-08-31,298.81341552734375,298.81341552734375,293.8879196670029,298.81341552734375,199170000
2006-09-01,297.1716003417969,298.8134323878842,295.52976829570963,297.1716003417969,210570000
2006-09-04,302.0970764160156,302.0970764160156,293.8879167307978,302.0970764160156,189850000
2006-09-05,300.45526123046875,302.09709325905055,297.17159717330514,300.45526123046875,368160000
2006-09-06,295.52984619140625,298.8135111490886,292.246181233724,295.52984619140625,562570000
2006-09-07,292.2461853027344,297.17168280783665,292.2461853027344,292.2461853027344,158290000
2006-09-08,293.887939453125,295.52977151710894,292.24610738914106,293.887939453125,58600000
2006-09-11,293.887939453125,295.52977151710894,292.24610738914106,293.887939453125,157680000
2006-09-12,292.2461853027344,293.8880178044351,288.9625202993329,292.2461853027344,310850000
2006-09-13,295.52984619140625,298.8135111490886,293.8880137125651,295.52984619140625,157070000
2006-09-14,298.81341552734375,298.81341552734375,295.5297516204499,298.81341552734375,74090000
2006-09-15,298.81341552734375,298.81341552734375,297.1715835738968,298.81341552734375,53700000
2006-09-18,298.8134125419285,302.0970764160156,298.8134125419285,302.0970764160156,92050000
2006-09-19,303.73895263671875,305.38078481313346,302.09712046030404,303.73895263671875,290460000
2006-09-20,302.0970764160156,303.73890835305923,298.8134125419285,302.0970764160156,916460000
2006-09-21,307.02252197265625,308.66435364095923,302.09702696774735,307.02252197265625,1020760000
2006-09-22,318.51544189453125,318.51544189453125,305.3807844968186,318.51544189453125,641900000
2006-09-25,323.4410095214844,323.4410095214844,315.2318468432741,323.4410095214844,450900000
2006-09-26,315.2317810058594,323.44094196955365,313.58994881312054,315.2317810058594,180600000
2006-09-27,316.8736267089844,320.1572912344661,315.2317944462435,316.8736267089844,107290000
2006-09-28,316.8736267089844,318.5154589717252,315.2317944462435,316.8736267089844,25630000
2006-09-29,316.8736267089844,318.5154589717252,313.5899621835027,316.8736267089844,126880000
2006-10-02,311.947998046875,316.8734927528783,310.3061664782072,311.947998046875,114180000
2006-10-03,311.947998046875,311.947998046875,308.6643349095395,311.947998046875,105060000
2006-10-04,310.3062744140625,315.2317708333333,308.66444227430554,310.3062744140625,139260000
2006-10-05,310.3062744140625,315.2317708333333,308.66444227430554,310.3062744140625,225860000
2006-10-06,310.3062744140625,311.94810655381946,308.66444227430554,310.3062744140625,123460000
2006-10-09,305.3807678222656,310.3062640774635,303.7389357371997,305.3807678222656,256580000
2006-10-10,307.02252197265625,308.66435364095923,305.38069030435327,307.02252197265625,748900000
2006-10-11,307.35491943359375,309.01629737647806,305.6935414907095,307.35491943359375,142370000
2006-10-12,304.03216552734375,307.3549214347464,300.7094096199411,304.03216552734375,352110000
2006-10-13,310.6776123046875,312.33898991059493,304.0321018810578,310.6776123046875,438920000
2006-10-16,312.33905029296875,315.66180614714926,309.01629443878824,312.33905029296875,233820000
2006-10-17,318.9845275878906,318.9845275878906,310.6776388486227,318.9845275878906,348930000
2006-10-18,320.6458740234375,322.3072516090512,315.6617412665965,320.6458740234375,288650000
2006-10-19,320.6458740234375,322.3072516090512,317.3231188522102,320.6458740234375,216070000
2006-10-20,314.00042724609375,320.64593893384176,312.33904932415675,314.00042724609375,231520000
2006-10-23,314.00042724609375,314.00042724609375,314.00042724609375,314.00042724609375,0
2006-10-24,314.00042724609375,314.00042724609375,314.00042724609375,314.00042724609375,0
2006-10-25,314.00042724609375,314.00042724609375,314.00042724609375,314.00042724609375,0
2006-10-26,314.00042724609375,314.00042724609375,314.00042724609375,314.00042724609375,0
2006-10-27,314.00042724609375,314.00042724609375,314.00042724609375,314.00042724609375,0
2006-10-30,309.01629638671875,315.6618081369708,307.3549184491558,309.01629638671875,206560000
2006-10-31,309.01629638671875,314.0004301994078,309.01629638671875,309.01629638671875,361330000
2006-11-01,312.33905029296875,314.000428220059,309.01629443878824,312.33905029296875,119270000
